YEAR,LOCATION,"REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","PRODUCTION in TONS","YIELD in TONS / ACRE","PRODUCTION in $"
2013,ALABAMA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","860,000","2,150,000",2.5," "
2013,ALABAMA,YEAR,HAY,"ALL PRODUCTION PRACTICES","860,000"," "," "," "
2013,ALASKA,YEAR,HAY,"ALL PRODUCTION PRACTICES","20,000"," "," "," "
2013,ARIZONA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","40,000"," "," "," "
2013,ARIZONA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","260,000","2,080,000",8," "
2013,ARIZONA,YEAR,HAY,"ALL PRODUCTION PRACTICES","300,000"," "," "," "
2013,ARKANSAS,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","10,000"," "," "," "
2013,ARKANSAS,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,350,000","2,970,000",2.2," "
2013,ARKANSAS,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,360,000"," "," "," "
2013,CALIFORNIA,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,430,000"," "," "," "
2013,CALIFORNIA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","530,000","1,749,000",3.3," "
2013,CALIFORNIA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","900,000","6,300,000",7," "
2013,COLORADO,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","720,000","1,080,000",1.5," "
2013,COLORADO,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","650,000","2,080,000",3.2," "
2013,COLORADO,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,370,000"," "," "," "
2013,CONNECTICUT,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","5,000"," "," "," "
2013,CONNECTICUT,YEAR,HAY,"ALL PRODUCTION PRACTICES","52,000"," "," "," "
2013,CONNECTICUT,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","47,000"," "," "," "
2013,DELAWARE,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","10,000"," "," "," "
2013,DELAWARE,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","6,000"," "," "," "
2013,DELAWARE,YEAR,HAY,"ALL PRODUCTION PRACTICES","16,000"," "," "," "
2013,FLORIDA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","300,000"," "," "," "
